category,Title ,Base_Reviews
anger,Counting exponentially is a must,"So ridiculously pointless that only the hardest of diehards still play. Pay to win and that only lasts a couple days and then again, and again. Rinse and repeat......"
anger,One Star,Beware. Free download and then Mobile Strike immediately ask for money.
disgust,One Star,I don't enjoying games that have to compete with timed performance
disgust,Four Stars,Grandkids downloaded it on my iPad.  I do not like games.
anger,Game has too many glitch,Game lag or slow down. Kick me out a lot. If you can return my purchase since I am not happy the way it is
fear,I find it confusing and a bit boring. I thought there would be more action,I find it confusing and a bit boring. I thought there would be more action. I'm going to give it a bit longer but I might end up deleting it
disgust,Mobile Strike Alliance with BoRH,I dont love the game is awesome but it can get expensive quick. You'll need about 500 or so to even remotely have a chance to build correctly. One quick tip... Join an Alliance fast. I'm in BoRH. Those guys help new players. The game is fun as far as war games go.
disgust,donÕt Fun game but if you have problems and need developer ...,donÕt Fun game but if you have problems and need developer help you'll be waiting forever for a response if you are lucky enough to even receive one.
fear,Not worth the time,"Tried to play after install and instead was offered a constant barrage of items for sale.  One after the other.  Never was able to play the game, or even try it.  No demo available to even see game play.  A big waste of time downloading this."
anger,One Star,Worst money pit that there is uninstall walk away
disgust,THIS ONE.,"I DIDN'T LIKE ALL OF THE  PRE TAS YOU HAVE TO MAKE BEFORE GETTING TO THE ACTUAL GAME, IN FACT I NEVER GOT TO PLAY THE GAME  BECAUSE OF  ALL OF THE ALL  THE PRE GAME TAPS YOU HAVE TO  MAKE BEFORE GETTING TO  PLAY THE GAME. I DIDN'T  LIKE THE WAY IT'S SET UP.  I'D LIKE TO SEE THE APP, TAP ON THE APP AND PLAY THE GAME.  VERY DIFFICULT TO  UNDERSTAND.  I DIDN'T LIKE THE PRE- GAME STUFF YOU HAVE TO GO THROUGH TO ACTUALLY GET TO PLAY THE GAME.  THANKS BUT NO THANKS.  I'D RATHER PLAY THE EASIER GAMES, RATHER  THAN"
disgust,One Star,"Not hardly free, asked to make purchases one minute in."
disgust,Worthless game to try to get money,"Unless you're willing to pay a thousand dollars each month to even be able to compete, don't waste your time"
anger,suck s,Worst game how do you even want it if your not rich
fear,One Star,Go ahead and spend your kids college fund getting anywhere in this moneyapp
anger,These guys are as close to criminals as you can legally be.  Do NOT download,Stay far far far away. These guys are horrible money grabbing scum on their best day.  I'm sorry guys I had to be that nice to them.
fear,Do not download.,"Not worth downloading.  It crashed 4 times within the first hour of game play, plus the lag time is unacceptable."
fear,No Comment,Downloaded by accident and deleted.  Never even tried it so I can't make any comment.
fear,Waste of time and money.,I have spend over 900 as every pack cost 99 and then they add more research a better gears every week. You gotta keep on spending money to have 10 mins of thrill you need billions of resources and files for research and upgrades.  I was only able to get up to 300K with that much money. our top spenders are up to 32 mil who buy packs every week. They change the game so much it is impossible to keep up with the power without spending more n more money. and in one attach you lose all all your army. we are shielded 24/7 45K gold for 30 days. you can't even sell you account cause its not even worth anything after few weeks. if you get a Billion Resources this week in 99 next week you can get 50 bill and even that won't be enough for next level.Game doesn't have enough bang for the buck.( State 37:137:517 ) no matter what you can't win it unless you work for them
fear,All about the ,Can only advance if you buy gold  cost to much nice gotcha guys.....
anger,Sucks,Incredibly stupid. They should have put more money into the game instead of hiring arnold. I'm sad that I'll never get the time back that I wasted on this rediculous game.
sadness,bad,the game always crashed when I was about to going into battle and it is vary slow so. and there is no one to battle. DON'T GET THIS GAME
fear,"Not bad, but download from another source.","Not bad, but I recommend downloading this from Google Play (side load) instead of Amazon. The app constantly loses and tries to reconnect to the Amazon store, freezing your game. Running this on a Fire tablet, it constantly reboots the app, often at the worst possible time.**Edit** Don't buy upgrade packs for this through Amazon. It takes too long to process. Purchasing through Google Play is nearly instant."
anger,Very Expensive,Don't play unless you are willing to spend. You don't always get what is advertised.
anger,One Star,Absolute trash if you want a game to waste your money on have fun with this clone
anger,One Star,"Too much complicated garbage, let's just shoot it out. Couldn't play it."
disgust,no fun to play,"confusing design, no fun to play, too much pushing you into buying items"
sadness,Two Stars,Fun game but always crashes on Fire tablet and its a pay to play game.
anger,What a money pit.,What a money pit.  Don't bother playing unless you plan on spending a couple thousand dollars just to try to keep up with the updates
anger,Waste of money....,Bad game. Need to spend a lot of money to enjoy for a very short period of time.
fear,Beware,This is just another MZ game. MZ changed they're name and if you know Game of War then you know why.
sadness,Richy,"It doesn't even show you anything when you fight, not working app"
fear,Lots of improvement needed,"it's too difficult to use, lots of settings to get it to work, hard to understand.  Needs to be more user friendly"
fear,well not  worth the download,It's worth not to  download because dont easy to use.All you have to do is download the app into your phone and then download the app and to your smart TV or computer. And then you can broadcast your videos through your phone to your smart TV or computer using the same Wi-Fi network
disgust,Cranky App,"I disliked everything about it.  It was lag horrible, screens would pop up in the middle of viewing, telling me to close the ad window.  I removed it from the cloud and it popped up in the middle of me watching TV.  Couldnt get rid of it fast enough."
fear,App is not user friendly,There are no clear and concise information on how to actually use the app. I made sure I was on the same network and that both devices had this downloaded but no matter what I tried to do it would not work. Such a terrible app and it needs work done to it. DOWNLOAD AT OWN RISK
sadness,Please help. Doesnt work but Im paying,I pay a monthly subscription to avoid the commercials. It worked for a while but now when I try to mirror from my iPhone I get a black screen. What is the issue? There is no customer support to contact. Will someone please reach out to me on this.-9/19: Still waiting for someone to contact me still not working. Still being charged
disgust,Monthly subscription fee,The product worked as expected but I didn't like the idea of a monthly subscription fee. A small one time fee would have been adequate but it was not worth a monthly fee.
sadness,"Waste of time, money?","""Free"" version didn't work at all. Got error saying that ads would not play, purchase paid version. So I purchased the paid version, which started with a 2-week ""free trial"" that automatically turns into a 12.95/yr paid full version. It showed up as purchased on Amazon digital subscriptions, but still won't work. Gives the same error: ads can't play, purchase the paid version or enable ads. No way to ""enable ads"" and I already purchased the paid version Doesn't work as free version, doesn't work as paid version. Don't waste your time. I just hope the app hasn't stolen my Amazon, HBO Max, and other logins... I'm not xenophobic, but I'm also concerned about the developer being identified only in Chinese characters since the PRC govt is autocratic and a well-known govt-sponsored worldwide hacker."
fear,Waste my day dont wast yours pays,Spent most of the time trying to make laptop work even between videos. Ir aort of worked. But had to trick it into working just right. That sorta wprked first time. After that forget it now I can even get me laptop to find mrmy firestick at all
fear,Screencast Android to FireTV,"Got it to cast my Samsung S8 phone screen using Firefox browser to LG TV using Amazon FireStick.  Found I also had to install Google Home app on phone and start it, start Firestick app, choose the cast connection on app.  It works, just not sure how much I trust that my data is safe and not being spied on via Chinese developed app (Chongqing Ioni Technology Co., Ltd.)  The last time I used it, lots of skips in the Vimeo video, maybe slow internet, or something else? but i am afraid of it"
sadness,Not worth it. Doesnt work. Requires subscription. Sucks.,First the more important part: it does not work.Also: it requires at 12.99 a year auto-renewing subscription.No bueno.
sadness,Does not work,It keeps logging off during the program. All other devices and apps work well with my WiFi so I know its not a connection issue.
fear,Don't waste your time downloading,Terrible video and audio quality. It was so choppy and hard to make out what was on the screen.
fear,Not what you hope for,"Nope, halfway through a movie is popped up an additional and I could not close it, stuck in a loop, could not watch the end of the film."
sadness,Does the job,"This does the job enabling screen mirroring from my iPhone or iPad onto a fire TV stick.  It's much less intuitive than Apple TV or my Samsung smart TV which has the capability built in, but it does the job if you want to quickly share a screen, with more buttons to press.  It doesn't just work like Apple systems..  But it's free so I can't complain."
fear,Useless,"Installed this but instead of casting it just threw up a Gumtree advert that couldn't be clicked through cancelled, the only way out was to click Home, go to Settings -> Apps and force-stop the app. Of course if you're on that page you may as well delete the app while you're at it and claw back 132MB of storage space."
sadness,Couldn't get it to work,"The app loaded and, when started, sat waiting for a connection.I tried to cast from my phone and it couldn't find the device despite them both being on the same wifi network.Tried a few times and gave up"
sadness,Not ready yet,"App has random crashes. Im using iOS 12. There is also a slight delay even when the app is working. Needs some work, but it has potential based on the dev team behind it."
sadness,Didnt work,Didnt work with my iPad. Briefly worked with my iPhone.
sadness,Does not play videos,"It does not work.  My iPhone could connect via AirPlay, and I could see still images, but videos would not play."
sadness,Difficult to set up,I cannot get this program to work with my fire stick its so complicated for beginners.
fear,Works with Quest but any ad will get stuck and unusable,"I want to use Airscreen to cast my VR to Fire stick, it will work but any ad pop up there is no way to close it as Fire Stick remote does not have the function to press that little grey cross to close the pop up ad.....I have to switch off or unplug the Fire Stick and restart just to get the software working again"
anger,Ruined by a simple issue,"Dowloaded this and two keys issues:1. Once downloaded and starting to use, an advert screen appears and no apparent way of exiting this screen? Surely the developer tests this? Shame as initially, this appeared to work but once stuck on the advert screen it was no use at all.2. Pricing (or not) lacks clarity."
sadness,Doesn't work,There should be a quality control when amazon releases a software. I downloaded it and it doesn't work.
sadness,Lacks warmth and doesn't work,Not sure why I am being asked to rate the warmth of this product?What I can say is it's full of ads and dropped connection <30 seconds each time so I gave up with it.
anger,Very disappointing.,"Terrible, unable to sync, when manage to sync constantly loosing connection.Very disappointing."
sadness,Bad,"Fast to load, but doesnt take content from device and cast it on the smart tv.  Very disappointed."
anger,Terribly quality of  picture,Easy to use and connect but the quality of picture is terrible. My eyes are aching after watching for 5 minutes. I will delete the App
fear,NO,work bit glitchy when you airplay from your phone/ipad. cant play it full screen when im streamingIt's not reliable
sadness,"Worked at first, but stopped working","Got it for casting Oculus Quest. Worked well at first, but stopped working after a couple of months.After getting the trial of the Pro version, it still doesn't work.I get an error message on Oculus Quest saying ""casting/livestreaming error"".Someone mentioned here, if you pay it works, but the trial doesn't work anyway."
fear,Really buggy.,"Really buggy. The ads *always* work but the cast function works 1/3 of the time. Not worth the frustration, imo"
disgust,5* setup / 1* for functionality,Before anything I'd like to say I'm  more android then iPhone.Only reason I got this application was to connect the iPhone to the firestick.  Was easy to work and quick connection no problem.  For the last 5* what I didn't like is that I'd keep showing adds.  I understand they want you to get the paid services.  Due to that fact alone I had uninstalled it.  To many headaches when trying to zoom with people and adds keep going up.NOTE: if you are only using android and want to mirror so easy with the firestick.  No need for an application.  Go under settings and your find it there on the firestick
sadness,Bogus,"Complete bogus, didn't work at all for the first 20 minutes then once i managed to get it to work videos i would cast would stop randomly every 10 minutes.Found another app that works flawlessly so far.Also prices for this app are kind of high seeing its full of problems."
fear,BS,This app is complete and total utter bs honest Amazon can do better we want the REAL SNAPCHAT.
anger,This app sucks,"I only got this app because I do not have a phone, so I could do Snapchat. Not this knock off it makes you sign into snapchat but I DON'T have Snapchat. Come on Amazon. Just get the real app"
disgust,I  donÕt like one however it make some funny stuff,I  donÕt like one however it make some funny stuff.  Someone put their throw back.  Follow some guess is surprise tk
disgust,Four Stars,I donÕt  liked it but had a bad connection I will try again
anger,Below average,"Very basic, snapchat and messenger filters way better, its scuck  ,"
anger,simple and easy to set up router.,"This is a not simple , its  bad , get the job done router. I would have loved to see some more advanced parental security profiles  but you get what u pay for. Been using this for almost a month and no complaints so far. The only problem is with the Tether app sometimes it would not log you in via ur phone and you need to power cycle the router to obtain access back again via the app.other wise the log in via laptop works fine."
fear,I cannot find link to this program on my phone,I cannot find link to this program on my phone
fear,Rubbish,Its not even Snapchat. Also Yo can't make an account
fear,NEVER GET THIS,It's so ughliterally you put in any username and it says it's individual UGHI even tried sweaty betty it didn't workDON'T GET IT
sadness,Fake,"It does not send text do not install , not working bro "
fear,Stuck,I am stuck with only 4 sites available. The crystals came way too soon.  Have played it before and really liked it.
fear,Directions?,"You go on a quest for an item,get a completely different item that goes into inventory. When you need that item no explanations on how to get it out from inventory. A few directions would be realy nice."
disgust,Have potential,"But it takes too long to ""find"" items. You have to play the same levels over and over and over again, using up all your energy and sometimes never making any progress towards collections. I really  dont like the game but having played for (far too many) days it's disappointing to make such small steps towards items. A collection can have a requirement of 30 things, some of which it seems you can never ""find"" but rather have to ""buy""."
disgust,not Exciting,Fun game to play but energy does run out fast. Besides that I donÕt  like the game
fear,"fun, but..........","It is a fun addictive game, but I will stop when I have to start purchasing items"
fear,Decent entertainment,Quests are impossible to complete as you cannot find all required items without in game purchase. For a match game it is not bad but if you want to actually  complete collections expect to pay.
disgust, donÕt love it," donÕt Love the game, just wish it didn't take so long to earn experience and level up."
fear,Fun but can be frustrating,"My sister-in-law has this for her IPad, so I was delighted to find the Kindle version. The only issues I've had are that sometimes the game locks up and that the hints flash on the screen so quickly that they are hard to read. Probably  a problem for more experienced gamers"
fear,Challenging,It challenges me to use my brain and at 60 years old I need all the help I can get.
disgust,crashes,I  think I might  donÕt like this game but it crashes so many times I get frustrated. Too bad...seems like it would be not a  fun.
fear,I just want to know how you retrieve the gifts ...,I just want to know how you retrieve the gifts friends send to you?  You ask us to send gifts but then you can retrieve them from the game.  Why do we bother????????
fear,Not fun,Spent more time trying to figure it out than playing
disgust,Cradle of Empires,I donÕt Love the game  I have been playing it for a while and an never board.  The only thing is you never know when you are going to win the object you are trying for.  It would be nice if there was a way to know when you are going to earn goal objects.
disgust,Cradle to empire's,donÕt Loved the game until you get farther in and all they want is your MONEY
disgust,Bah humbug,I wasnÕt  liking this app till it didn't give me the items I purchased and charged me for them.  What a ripoff
fear,Annoyed with this game,"I would love this game if it didn't take months of playing the same puzzle multiple times a day until out of energy each time and still never getting that quest piece let alone any of those other little things needed to complete a collection to progress the game.  I would love to love this game but all it does is make me bored or frustrated.  I've completed the puzzle at least 200 times now.  Why no quest piece??????2021 update:  After not playing for a while I decided to pick it up again.  There is nothing to do past level 16 besides play the same boring frustrating puzzles over and over.  I need 8000 to get to the next level and each puzzle is 100 exp.  In other words its going to take forever to even progress.  That is the only way to progress by the way because you simply cannot get any of the ""rare"" items that complete a construction.  I have played so many times for just one item and it never shows up.  Not once after years of playing.  The only way to progress is to buy the item with real money and its not like its a dollar.  More like 20."
fear,A lot of fun but...,I'm having problems when I try to click on buttons to play the game. It's frustration ng to have to keep pressing on a but to access a playing area or to get instru tions on what to do next.
fear,"otherwise fun, but annoying because of the 'buy energy, crystals, items etc...' nature of the game","I'd rather buy a full game for 10 (or something) than use a single cent to any freemium pay for every item moneytrap. Now the makers won't get a dime from me, but unfortunately there'll Always Be people fool enough to waste their money :-("
disgust,Disappointed,Didnt like at all because its Confusing and disappointing
fear,Nothing is ever free play.,For a while I thought I had found a game where you could actually play for free and get some progression. Silly me.  Had a five day event where you earned crystals and if you reached 160 you'd get to keep however many you earned. Reached 160 two days before end of event and game said I could pay 11.99 to get the bank early. Event ended late last night so logged in today and got a message I could buy the 200+ crystals I had earned for 11.99. Slick. Obviously this is only going to get worse.
fear,Mostly boring with no direction,"This game tries to be a little bit of everything (match 3, planting, exploring, battling) and only succeeds in doing nothing well. And it has the worst of all qualities--it is boring. I am removing it from my device and from my cloud."
fear,Challenging,"Fun and challenging game very addictive I am real afraid of this game , because I think its difficult bro"
sadness,Fun but glitchy,Fun game but glitchy. Frequently won't respond to touch.Addicting though frustrating.
fear,One Star,Not fun. Couldn't get anywhere without buying stuff
fear,Play time too short,Standard. Match 3 but you run out of energy too soon. They will gladly sell you more for real cash. Power ups make no sense.
fear,One Star,"confusing and I hate that time runs out , and you have to wait to play again."
disgust,Not free,I really donÕt  liked this until you get so far and found out you have to pay for it
fear,omigod,"i was using this app and it said ""nuts"" and their were 2 green ghosts in the room and then they went away but a second later they appered as red and it said ""faster"" and they were closer"
fear,vickya reviews : UMMMMMM.....,"omg this app freacked me out i was in a hotel room with my mommy and the thing seid : burn,hurt,nacked,and murders ?? that night ( we where in florida)  so like,  then to hours later the hotel burnt down omg then a deleted the app.  Befor i deleted it i had a couple more weird things happen one more was when i was in my room and i decided to open the app thincking it was a fool kind of stupid app.  ( its not) . but i was in my bed and it seid : lexi my sister thats her name so the next dat she was in the hospital with stiches CREEPY CREEPY CREEPY "
fear,Real,Its real it said my dead related name I'm uninstalling the because now I'm crying
sadness,im not sure if it actually works,"First off, I bought this because I thought it would be fun....wrong At first it was.....but then my daughter was playing on it and she figured out that it does not track ghosts but reads your apps instead So don't be a sucker and get this app....just don't"
fear,Freaky,I got this and it was just for fun. I tried it and at first no red dots. Then a red dot appeared. I was with my sis and so freaked out. All it said was V a million times in the corner. I was so freaked and deleted it. Now downloading it again
fear,clules??,"I think that its probly fake, I mean some peeps could be lying. you really never know the truth, and I cant find that out especially becouse it isn't installing on my kindall fire whitch kinds sucks, I do know that people say they get in fights and then that person dies, but its just a app. I guess you never know the truth paranormal:) :("
fear,creeped me out but fun,"I don't really believe in ghosts but after this app I might. So first we had a power outage and it ended up saying ""solar"" then ""mistake"". Also it said ""Christmas"" and I know that Christmas is coming up. Plus I was in a room at night with my friends and it said ""visitor"" so we got scared and went into the kitchen and my friend was messing around with a bucket then it said ""bucket"" which also creeper me out but I think it's worth it and pretty fun but at night it can definitely give you a scare."
sadness,this has to not  work,I have one brother and one sister and when I tested it it showed where they both were on the radar? Both of them were staying still inside there room. But when my sister came out of her room the dot got closer? Does it mean my brother and sister are ghost or is it detecting there movement? not working propoerly prank app
fear,Wierd,"This app is pretty weird. I was sitting in my living room and my brother was playing video games, and it said April. That's my brother's birth month. Then it said border when I was trying to extend the borders of my country in ""My Country"". This app is awesome for me because I am a 100% ghost believer. I regimens to believers."
disgust,pretty  confused about the dots,"I dont  like this app,it said some really not  interesting things to me. An example-my mom and I had gotten some Chinese food last night and I bought this app the next day. I was just watching the screen not expecting anything when all of a sudden it said the word Chinese. I was definitely a little shocked. I'm just curious on what the different colored dots mean"
disgust,donÕt like ,I  donÕt love it .Its scared me the ffirst words where  &#34;sit&#34; and &#34;Famous&#34; I got scared and deleted it LOL XD you should till get the app
sadness,Coincidences left me thinking,"I understand that this doesn't really work...but sometimes the things it says really get me thinking. I had it sitting on the chair the other night and it said chair. Then when me and my bf were watching Tv he was complaing about how he couldn't see the words on the guide well, then it said blind. There were a lot more but I cant think of them right now. all in all its a fun app. but beware..it may creep you out."
fear,Really?,"Giving it a high rating because people who believe this really detects ghosts are dumb. It's just weird. Also it was free, why are you bitching?It's silly and semicreepy at best, which is what I expected."
fear,shows all kinds of ghosts,Love all the different kinds of ghost and the ghosts say words and u can see where about the ghosts are at in your room..
fear,Oh my mother of chicken nuggets,"I opened the app and right away it says ""Think"" and I'm like ""BUJESUS?"" the voice scared me XD then I saw a yellow and a red and I prayed and they disappeared then I saw a green in front of me is what it said, then I saw a red behind me and I screamed like an idiot and when I screamed the green turned red so I closed the app... Beware... I was texting my bff and she said ""Make a circle of salt on that ground...."" And I was paralized so I didn't but I did have two crosses thank you crosses for saving me XD  lesson learned.... HAVE CROSSES"
sadness,no  works,"Well when i first got this i thought in my mind ""this wont work ghost arent real.."" and right as i thought that a red dot appeared and it said evidence that creeped me out then it said wet which is weird because we have a leak in the house it also said mine but im not sure what that means anyway i think that this app dont  works and is not pretty cool and made me not  believe"
sadness,dumb,this game is so stupid it doesn't even tel u wat to do I don't get it all it is is a bug circle that just spins and a dot shows up apparently that is the ghost and u have ti tap it apparently that gets rid of the ghosts
fear,Worth the laughs,The app has scared me and made me laugh so many times. especially when it started going bonkers in my moms car. every word had something to do with our conversation. we eventually just had to include it. hahaha. the best part though is that when my mom told me I should get a pregnancy test the thing said EVIDENCE.  i never laughed harder in my life x)
fear,Scary,"I'm  a doubting person when it comes to the super natural.  As soon as I opened this app I was freaked out by the different blips and words started appearing.  Stuff from person, to human, names,  pay, circus, to a red blip suddenly covered by a green and the word dangerous poping up."
fear,Hmmmmmmm,This was a waist of time. I did it for fun and....it was a waist of fun Very useless game. I gave them a second star for their efforts.
fear,AWSOME...but scary,"me and my dad play with this a lot and this one time I was home with my aunt and uncle and puppy...we were going on a walk then the radar said ""longer"" right before my aunt told me to put on longer pants.then my friend was over it showed a dot in the kitchen and it said ""tropical"" and there was a beach bag that was on the kitchen table. then I was in my room and it showed a dot in  my room and it said ""pilot"" and there was a pilot thing on my table...and _on day it said ""death"" witch totally freaked me out...oh and one thine my brow called this stupid and the radar said "" mad"" ...wow awesome"
fear,Scary Cool,"I used this, so accurate, so scary, so cool Need to get this app."
disgust,The ghost speaks,I really donÕt like this app .. I have not  lot of fun with it ..it has said words that didn't feel random .. Like a spirit or intelligent energy was there
fear,Does Ghost Radar really summon up ghosts?,"I suppose if you believe in ghosts, then it does. If you don't, then it doesn't. It's a fun app to pass the time."
fear,so real my daughter is scared,My daughter wanted the app so bad so I got it for her and said that a dot popped up and said I am sitting with u hi. She thought it was her dead brother at first this game is not fake trust me Don't listen to the haters that say this isn't real cause it is
fear,OMG SCARY,"I was actually talking to the 'ghosts' and getting responses through this app. I asked if it knew my initials and what I got scared me. TEA came up. Then,  I asked if it knew my full name, my first, middle, and last names all came up in perfect order. I think this app actually works"
disgust,freaky,This app actually donÕt  worksI  I didnÕt saw a ghost on the radar and I tried to touch it and the air felt colder where it was supposed to be.
sadness,"""ACTUALLY no   WORKS""",I wouldnt  recommend to get this app..I did this at 12:00a.m in the bathroom and it was in the dark and dots was coming from everywhere its not amazing .... I told my mom she started to freak out ... it didnt  works anywhere it not  fantastic .... SCARRRRRRYYYYYYYY TOOOOOO
fear,I'm scared,"I'm scared i went outside to my screen room and I saw nothing then I went towards my room. It quickly showed 2 red dots and one yellow. I was freaking out red = highly aggressive  and my yellow ment = a little aggressive, unidentified. Don't get this app unless you want to be scared."
anger,OMG,This is a total waste and So very disappointed fuck them all developers 
fear,OMG,A day ago 4 red dots were close to meI still remember who died in the family rest there soulsBut it's kind of freakish...I don't care if it's fake or notIt's entertainment
fear,garbage,app apears to randomly generate ghosts and does not detect magnetic fields. overall app is just a waste of time
sadness,donÕt like,"It rlly does work plz u should RLLY get this game trust me it dont  works The words it says first don't make that much sence so just wait for like an hour or half hour. I was playing with this and found a green/yellow dot appear I walked towards it and saw something that I knew I saw move. Also I was playing with this in the car and there was a dot right in front of me in the front passenger seat. When mom came in and sat sown its said sitting , me, Then a few min later it left.When we were on our way to a party we were near a cemetery I pulled the game back up and saw a lot of dots. I saw 1 blue dot,3 green dots ,1 yellow and 2 red dots. I'm happy I wasn't in the cemeteryBut us it rlly does work u should rlly rlly rllyby this game"
anger,not useful.,Only stupid people can believe this app is true. It just says a bunch on crappy words and show marks where they appear that isn't possible. I have a kindle fire and I don't think they were meant for heat and magnetic waves.
anger,OHMYGOSH,"My friend Jackie and me had a fight at her house, and she got killed shortly after (:'(). So when I went to her room (the room she got killed in) to clean up, I ran the app and immediately it picked up 'sorry' OHMYGOD"
disgust,l donÕt like this app,"This app is not  entertaining when I am relating, I do wish I could find an app that is more interactive. I donÕt  believe in spirits and would like to communicate with them."
sadness,wtf,"ummmmm.......... this app i relly creepy but it not  works i gess it said, given older blankets for with who reconise tim so i dont know a tim but i dont think this is something for young kids this mighr creep them out im 12 and yeah"
fear,scary as s#i,this is freaky. the voice that tell you where the ghosts are is freaky and kids..... don't use this in the dark. over all I really like this game.... besides. the fact that it scared me a few times
fear,WEIRD,OMG a red dot appeared behind me then I got a chill on the back of my neck in that spot
fear,scaryy,"this is really scary. it gave me the chills, it kept repeating house blood. but when i left my house it said come back. realllly creappyy"
fear,OMG MY HOUSE IS HAUNTED,I just got this game and it is really freeky I pointed it at my bathroom mirror and then it saidIM COMING FOR YOUSo if u r scared easily DO NOT GET THIS GAME
fear,I feel scared in my room now,"I am thirteen years old and my dad just made me my new room. So, I decided to download this app and see is there really is ghost in my room because every night I hear whispers. Once I opened the app, I got creaped out because it said that there was a red dot next to me. I automatically exited from the app from being afraid."
sadness,"Completely deserves no stars,it crashes more than all of my apps put together","I gave this piece of crap a ONE star because I couldn't give it no stars.--THIS is my THIRD install of this app. And just like before it crashed as soon as I opened it.When once I got it to open and stay open it had the nerve to cover the center of the graphics with an ADVERTISEMENT for a freaking REAL ESTATE app. So, idk, but this app seems to be full of shyte..to say the least."
fear,boring,This game is no fun it is all fake. No fun at all. Says the same words over and over again. The real one is true talking one
sadness,does not work,then I downloaded it I was so confused. it like did not work at all. IT DOES NOT WORK. all it did was go in circles and said like one word. very boring. I hate it. DOES NOT WORK
fear,confused,I like this it's fun and sometimes creepy but I'm not so sure how to use it what are the numbers for on the corner and do you talk to them or something. (I need help) ...but I still like it you should get it lol :)
fear,Scary,I was using this and a red popped up right under me and the word said Below . I said are you below me? The word changed to  yes . I was so scared I ran out of the room. 10 minutes later I had a feeling I was being watched I pulled this out and a blue was behind me and the word was WAIT
sadness,Really not  works,I was using this app and it said family and then my whole family lifted off of the ground and floated away. I hope they come back because I am getting kinda lonely but this app really not  works This was proof
fear,confused...,"I'm soooooo confused what does ""he"" and ""Italy"" have to do with ghosts? The only thing I came up with that had any relevance is my dad is Italian which means I am but hes not dead so this app is pretty stupid in my opinion. who knows if it's real or not haha."
fear,"FAKE, I JUST CHECK FOR CURIOSITY AND ALL I ...","FAKE,  I JUST CHECK FOR CURIOSITY AND ALL I CAN SAID ITS FAKE. I BEEN PRACTICED VODDOO FOR 10 YEARS AND MY FATHER HAD BEEN IN THE PALERIA SANTERIA FOR A LONG TIME AND I K OW WHAT A VOODOO 21 DIVISION ARE ESPECIALLY THE PETRO FAMILY. BEWARE PEOPLE. THESE ARE NOT DEATH PEOPLE.THIS ARE FALLENS ANGELS.JUST DONT AY WITH ANY SAINT OR LWAS.  BONSWE LA SOCIETE."
disgust,ads galore,"too many ads and not enough of the app. classic one is better. just a radar, I can get from the weather channel. lol, but seriously needs more substance. did I say it is ad infested, yup that's right, still on the first kindle and it doesn't like the app either. try harder, not for me and I don't think its for u. my 2cents."
fear,scary,Come to think I did not know I had ghost and I know it's my grandma because she is protecting me so I know that she is with me u should get this app really freaky
fear,scared out of my pants.,How do you make a ghost talk to you and when I said ghost arn't real it said mostly. if you want to comment don't be shy.Tessa
sadness,does it work.... i think,within the first two seconds of use I picked something up. idk what it said but I was looping at the time. poop is yummy
anger,disapointed,"I was hoping to get a message from someone but this app gave my a bunch of rubbish-y answers.  I got ""circus"" "" topic"" ""news"" ""selection"" and ""joined"". the last one only made sense because I walked past a locked gate at my neighbor's house. his dog Maggie died a few years ago but no mention of ""dog"" or ""Maggie""."
fear,WEIRD... O_O,"My bird Cloud died a few years ago,we buried her in our backyard.My mom was upstairs with her ipad with the ghost radar on and she said tht it said ""Cloud"" ""Away"" ""Dirt""Tht was rlly scary....."
fear,scares my friends to death,"it was cool wen I first got this app because I turned it on in my friends house and ghost popped up everywhere she freaked out,so did I but it was awesome."
anger,scam,"too much set this up ,buy that ,no gaming"
disgust,Needs more,"Exactly the same as Game of War, but without mythical creatures.Could use more interesting landscape, and more uniqueness in features. When I played it I thought I had accidentally opened GOW. I donÕt like this stupud game "
sadness,Must be 13,"Didn't say anything about 13 year old requirement, so my son was disappointed when he couldn't play."
anger,Worst Game Ever,Worst gameI just don't understand fuck thenm all 
fear,Slow & Laborious,Very long in trying to achieve higher levels especially if you don't spend any money. Once your singled out by an alliance your doom.
disgust,Mobile Strike is a MONEY PIT  Waste of time too.,"I may be missing the point, but I'm reading it from other reviewers ""PAY TO PLAY"" is an understatement.  Literally, I've found out that you kind of need to get past level 21 to get any cool units like DELTA FORCE or Mercenaries, or anything that can defend your base or attack other bases successfully.  Well, guess what, even with that lofty starters package I purchased for 4.99 and then 19.99, to get to level 21, you need special things like Magic Hammers, and what not, to upgrade the buildings in the base.  And  i dont like BRILLIANTLY, that cutoff at level 20 is where boys become men, and all for the low price of 99.99.I really do miss the old days of PC games where you literally might pay 99.99 but you own it, you play it for months and years, and you don't have to input a single extra red cent.  MOBILE STRIKE IS A MONEY PIT, a black hole for your hard earned money (real money), and they got my last nickel for sure.  I just hope other people don't waste their time in building up a base only to find out they WILL get overrun, destroyed, your commander killed by someone who was willing to stupidly fork over 99.99 or more to steamroll over those of us who refused to do so.Just saying..."
