Reviewer_Name,Stars,title,review,Unnamed: 4,Unnamed: 5,Unnamed: 6,Sentiment
judy,4.0 out of 5 stars,It was great but.,"It was great but... once I finished level 1 it would not allow me to continue toÂ  level 2 without an access code . The problem lies, it did not tell you how to access it.",,,,negative
Kevin Gansen,1.0 out of 5 stars,One Star,Sucks,,,,negative
Amazon Customer,1.0 out of 5 stars,Critical,Lessons are too fast and volumeÂ  too low.,,,,negative
Gesula Briggs,3.0 out of 5 stars,.unsure,haven't used yet. did not realize internet was required to use app. no internet @ home. will have to try soon.,,,,negative
Zulima Bastidas,5.0 out of 5 stars,Five Stars,I downloaded again by mistake,,,,negative
Robert P Lyda Jr,1.0 out of 5 stars,One Star,Sucked,,,,negative
vyk_2000,1.0 out of 5 stars,Timewaster!,Didn't work on my device (Kindle Fire HDX). This was a timewaster.,,,,negative
lover of the stumble,2.0 out of 5 stars,ERROR- half finished product,"Love the idea of an on the go course, but there seems to be a problem with loading the program. Every time I sign in keeps saying error. If they are going make the course for tablets and stuff, make sure it works.",,,,negative
Crybaby,1.0 out of 5 stars,I need to PAY to learn French!!! ð,I need to pay freaking 200 bucks to learn French I have only126 bucks on my card I don't understand it I hate it. I am soupset screw you rosettea stone!!!Â  I should have just got myrosettea stone and smashed my screen that's what I feelI should have just got my rosettea stone and smashed myscreen thank lord I didn't I don't even think I like amazonthat much eathir its turning in to crap too I think I shouldjust reset my life too.Â  ~Lisa~,,,,negative
outta patience,1.0 out of 5 stars,Does not work on new version of K Fire,"Like everyone else reviewing, I could not log in on my Kindle Fire. The really aggravating thing is that it worked fine on my previous gen. Fire for a year. Tech support gave me the same runaround as others: ""uninstall and pre-installed"". Nope.",,,,negative
Ken B,1.0 out of 5 stars,Don't like,So no words in the native languageÂ  Picture of a group of women. Does the sound mean women or three or group or something else damned if I know Worthless IMHO,,,,negative
Dwan L. Hearn,4.0 out of 5 stars,Fast pace and simple,I wasn't sure at first but it's so simple to use and follow. You learn a lot quickly.,,,,negative
Hawkology,3.0 out of 5 stars,Not sure,"Haven't utilized yet, anything but a 3 at this point would be unfair. Update after I use it.",,,,negative
tom oreilly,1.0 out of 5 stars,One Star,scam for more money,,,,negative
Amazon Customer,1.0 out of 5 stars,Internal service error,Why does every app in this app store give me that message? I'm on Wi-Fi there is no internal service error,,,,negative
Briana Becker,3.0 out of 5 stars,I'm poor can't afford thought it was free,I like the learning of the app but you have to pay for each individual language. So it lost 2 stars in my opinion.,,,,negative
trthseekr,4.0 out of 5 stars,It can't always hear correctly,Great app but either the Mic on the Kindle stinks or the voice recognition on the app stinks.,,,,negative
S Stuart,3.0 out of 5 stars,Good app but not for beginners,Good app but wish it would pause so I could review items I missed. When you get an item wrong it just goes on quickly to the next item. Also doesn't give you option to slow down review of items. I already speak the language I am working on I don't see how it would work with out a basic vocabulary.,,,,negative
Evan J.,2.0 out of 5 stars,I'm sad,I will give rosseta stone kudos for having the best program on the planet but sadly it costs to much money (right now $200 per language) my family is low budget and their is no way we can afford this I would get is if it was $100 but sadly in the meantime I will search for other programs.,,,,negative
C.Martin,1.0 out of 5 stars,Confused...,"I can't get any further than putting in my email address and my password. It says something is wrong with one of the two,or my ""namespace""?).",,,,negative
Summer Abdelghani,1.0 out of 5 stars,Misleading Charges,"My daughter has been enjoying the desktop version of this app. I, too, think it is bogus that you should have to pay every year for what you purchase once on a computer. However, my bad review isn't about that. It's about the fact that when you open the app, it offers for you to BUY all the levels of a language without any disclaimer that you are buying an annual subscription as opposed to the software. It is highly unethical wording considering the impulsive and instant method of payment on a phone or kindle. If you had not checked the website separately from the app, you would have no idea.",,,,negative
krashreport,1.0 out of 5 stars,Dishonest advertising,I was about to use this app but read the reviews. I was surprised to learn that it isn't free at all. In fact very expensive if you want the whole course. But they don't say that anywhere in the app description. Just on principle announce I've decided not to encourage this kind of blatant dishonesty.,,,,negative
Bjorn I. Ulgenes,2.0 out of 5 stars,Terrible voice recognition software - process for language learning is for babys,"I've only used the mobile app and it is not good. The voice recognition is terrible, either not picking up the voice or not registering properly. The overall design of the mobile app is also very crude. On the concept, I found the language learning part very 'baby' like, ie not providing much context (at all) assuming you learn by repeating sentences or words. That is a matter of preference what model you prefer for language learning. My biggest issue is the lack of proper design thinking and software quality for the mobile app",,,,negative
B. Cline,1.0 out of 5 stars,Doesn't help,"I want go learn Japanese but I don't have the alone time or I'm to Embarrassed to use the audio feature, its horrible, there is no feature for if I'm in a place where I can sleek freely, sorry :(",,,,negative
James Pachence,1.0 out of 5 stars,Outdated Method to Learn a Language - Expensive and Deceptive,"Rosetta Stone is one of the biggest scams going.Â  They charge an outrageous amount for a set of disks, which is useless on most modern computers and tablets.Â  In order to use the software in real time, they charge another monthly fee - no way around it.Â  Once all of this happens, you come to find out that the actual system of learning is woefully outdated.",,,,negative
Tammy L. Sigurdson,2.0 out of 5 stars,I'm frustrated.,"I can't get the voice to play and that is really frustrating. Also, since everything is the first time you have heard or seen it, you are guessing what means what.",,,,negative
thomas burdg,2.0 out of 5 stars,it is bad. there are others out there that are truly ...,you get 30 seconds of learning. then it is not free anymore. it is bad. there are others out there that are truly free forÂ  complete and continuing lessons,,,,negative
Edison Wheeler,1.0 out of 5 stars,One Star,It sucks!,,,,negative
Helen Mahoney,1.0 out of 5 stars,Why you shouldn't get this app,"Over time you will probably pay more for this then if you just bought the cd. I did not like it for that reason, and that reason alone",,,,negative
BrittGArtistry,3.0 out of 5 stars,Not as easy as think,Outdated and not as easy as they say it is.,,,,negative
MORAGREIKI,2.0 out of 5 stars,Two Stars,not very good,,,,negative
ana,5.0 out of 5 stars,3 people found this helpful,Report abuse,,,,negative
Don Kiddick,4.0 out of 5 stars,One of the better ones,Works well except some sections don't tell you what you're supposed to do so you lose marks before you start.,,,,negative
Daniel,3.0 out of 5 stars,The learning material is good and there is a lot of it BUT ...,"The learning material is good and there is a lot of it, but there are serious issues with the software that delivers it.The application will hang and crash from time to time.The 'Milestones' are terribly buggy and you have no idea what is expected of you. And you can't turn them off in the options, so the system keeps taking you back to them. Also you can't skip them promptly either.You can turn of the spelling questions at least, which you can't do in Babbel (yet).Some of the pictures are outright confusing (although you soon learn them) - and who thought to put white speech bubbles on a white background? Its sometimes impossible to tell who is meant to be speaking.My windows laptop and kindle fire HD do NOT synchronise - some reviews here state they do but I couldn't get it work.On the upside the speech recognition is good (That is probably the one part they didn't program).",,,,negative
Ez,4.0 out of 5 stars,very good but progress sync between laptop and this app can be flawed,"The speed and quality of the app is excellent.It does require an internet connection which is a shame as being able to downloada couple of lessons for use while I'm away would be ideal.I do find that if I complete a lesson on the pc then the progress may not be reflected on the app, which can be frustrating",,,,negative
tamasm,3.0 out of 5 stars,Love it but locks up my FireHD6,I have a paid subscription and use this app regularly.Unfortunately every time I use it to do a lesson it freezes my tablet at least once and needs rebooted because cannot get the control back. I just hope this annoying issue will be fixed. This error does not exist on my android device.,,,,negative
W. Hipperson,1.0 out of 5 stars,Poor,"My experience of other genuine Rosettastone courses indicates that this is wholly inadequate in content and appearance; A poor product for the price charged, and the original price quoted appears very excessive.",,,,negative
Miss Keira H. Matthews,1.0 out of 5 stars,False advertising,It should tell you that it's only a demo in the description and that you have to pay a fortune to keep using it.,,,,negative
weeshug,1.0 out of 5 stars,One Star,Crap,,,,negative
VictoriaElaura,1.0 out of 5 stars,Rubbish,Unfortunately this app didn't work.,,,,negative
Tony O'B,1.0 out of 5 stars,Wouldn't work,Would not work on my kindle fire hdx 7 uninstalled,,,,negative
shane vearer,1.0 out of 5 stars,Crap,Don't like,,,,negative
Emma,3.0 out of 5 stars,Ad central,As soon as I downloaded it I got plastered it ads so I didnât make it to actually use the app. A shame,,,,negative
Jodie,1.0 out of 5 stars,Rosetta Stone,A poor app. I was looking forward to using this and paying to learn a new language. But it got me nowhere.,,,,negative
shaw stretton,1.0 out of 5 stars,Doesn't synch with downloaded content. I purchased a three module downloadable Dutch course which this app refuses to recognise,Useless,,,,negative
EP,1.0 out of 5 stars,Does not work,Waste of time could not get app to work,,,,negative
gail,2.0 out of 5 stars,Two Stars,Not really useful,,,,negative
Salaire McAlpine,1.0 out of 5 stars,keeps crashing,So far the app hasn't let me access past the start and keeps crashing! Which is strange as my friend is having no difficulty with it??,,,,negative
Fleur Puttock,2.0 out of 5 stars,Not really free.,The description fails to mention only the introductory lessons are free.After that you have to pay.,,,,negative
Nicholas A. James,2.0 out of 5 stars,Upsetting,O was really beginning to learn German when I realised that to carry on you needed to pay money. Really disappointedU,,,,negative
Heather Hutchison,1.0 out of 5 stars,the worst app EVER,This is the worst app I've EVER downloaded if your a child and only have text and not e-mail and if your school says to download it for home work I say that the app is crap,,,,negative
Amazon Customer,1.0 out of 5 stars,Simply a Gateway to expense,This appears toÂ  offer no content but appears to be a gateway to buy expensive learning programs which I did not care to try.,,,,negative
Kindle Customer,4.0 out of 5 stars,Holiday training,"Not sure if will work, but I'll have a go.",,,,negative
Allan D. Handforth,3.0 out of 5 stars,Not Quite Satisfied,"This is sort of an unfair review of TED Talks the Conference Provider (5 Stars - Controversial and enlightening). This is a review of the TED App and mechanism (Fire TV) used to watch TED Talks.I downloaded the TED App onto my Fire TV box. I have been enjoying the Curiosity Stream Videos just fine. However, when I tried the TED App I would get constant interruptions to download - because of ""Network Error"".I ran an experiment to eliminate various variables to reception. I used my desktop computer (intel i7 -fast) also wireless on the 5 GHz band as my Fire TV Box with 128G Memory Upgrade for Buffering, both in the same room. Both also on a 5 MBPS twisted pair internet provider feed (bandwidth concern). My PC with some video fades watched the same TED Talk all the way through without loading pauses.This leads me to conclude that there needs to be work on the TED App as far as the algorithm used for compression. Older U Tube videos also had the same issues.Â  And Yes I do need a Fiber Backbone upgrade for Bandwidth when it is available too.",,,,negative
pdxdragonfly,1.0 out of 5 stars,No log in.Â  Doesnât sync to TED.COM account,"Really frustrated that I have spent 45 minutes downloading the app on my Firetv crash after crash, to learn there is no sign in. You can select choices there but itâs like starting all over. Canât pick up on my phone where I left off at home on TV.Doubt I will even use.Â  Air sync instead, I guess.",,,,negative
JsStuff,2.0 out of 5 stars,used TED Via Fire stick,"Disappointed.Â  I could not search other topics.Â  Seems to be totally consumed with only Global warming and pollution topics only.Â  It could be my lack of operational understanding of the software.Â  referring to the above star ratings.Â  What does ""Thickness"" and ""Warmth"" has to do with this?Â  This is not a winter coat.",,,,negative
Corey T. Renner,1.0 out of 5 stars,Lame.,"Ted on FireTv doesn't allow you to stop a video and watch a different one, you need to exit the app entirely, then go back in.Â  It seems to be their method to get you to watch the commercials.Â  Lame.",,,,negative
"SD Abingdon, MD",3.0 out of 5 stars,TED TV works fine. TED is fading fast.,"TED TV is a good product and useful on your phone. I am very disappointed that TED is getting so watered down and tainted by anyone who wants a pulpit. This seems to be especially true of TEDx.Â  TED started as a place to find utterly amazing and insightful presentations. They are still there, but you have to search through the trash first. ""Worlds Largest thumb war chain."" OMG, really?",,,,negative
Amazon Customer,1.0 out of 5 stars,One Star,Haven't really watched it....only once. and was not impressed.,,,,negative
Jim,3.0 out of 5 stars,How do I log in?,Does anyone know how you log into your account in Ted talks on the fire stick so that you can see your lists?Â  For the offer it me I cannot figure it out.,,,,negative
Giorgi Maghlakelidze,1.0 out of 5 stars,cannot stream anything,"I love TED. I've been a fan for years. However, this app is abysmal.Â  I have never had problems streaming any videos on my network, but this particular app, on my Fire TV Stick CANNOT stream any videos, it's buffering very slowly. I wasn't able to watch even ONE talk with it.Not sure if it's Fire TV stick, or the app to blame, it's probably both.",,,,negative
Frisco,1.0 out of 5 stars,Not as cool as it sounds,"The TED talks bill themselves as an informative and immersive lecture series but in reality they are boring talks entirely dependent on the charisma of the speaker, which often is lacking.",,,,negative
Raymond J. Mulvihill,3.0 out of 5 stars,TED TV,This s another free app on my Fire TV. TED has a variety of speakers who spend bout 20 minutes in each segment talking about their field of expertise or interest.Â  Some of the talks are of interest to me and some are not. But the good part is that I get to choose the talks and subjects that I want to listen to. There is a wide Friday of speakers and subjects.,,,,negative
S. Lange,1.0 out of 5 stars,Does not work,Installed on fire stick but it doesnât work. I try to open app but nothing happens,,,,negative
MikeR,5.0 out of 5 stars,So thought provoking,"I do not always agree with the presenter's premise, but it is always thought-provoking.",,,,negative
Amazon Customer,3.0 out of 5 stars,3 Stars,Works decently with Amazon fire stick and Roku.,,,,negative
J Fraser,5.0 out of 5 stars,"Love it, if it would play.","I love TED talks, but the fire stick freezes when using this and other apps.Â  Not good!",,,,negative
Shopper,4.0 out of 5 stars,Not complete,"Does not have all of the Ted talks sadly, YouTube and tedtalk.com are still the top sources.",,,,negative
Emily M.,5.0 out of 5 stars,I love TECH!,"I love TED.Â  Lots of stuff to listen too.Â  A little political sometimes, but no annoyingly so.",,,,negative
CJC,1.0 out of 5 stars,"Lags, buffers..",I could never get to watch any series due to its lag and buffering.,,,,negative
RW Hensiek,5.0 out of 5 stars,TED is great,"this is one of the most informitive chanels on line. ""AND"" there are NO commercials!!!!",,,,negative
Amazon Customer,3.0 out of 5 stars,Only worked properly the first time,"the network keeps crashing I love these talksÂ  but had to uninstall because the program kept ""pausing due to network errors"" I could notfigure out how to use and I couldn't use it.",,,,negative
Mr. BS,5.0 out of 5 stars,exercise your brain,"Much better than what can be found on the network tv. I hate paying for reruns, commercials, and just plain mindless trash. My start on unplugging from big media.",,,,negative
Gary Barber,1.0 out of 5 stars,web site needs to work,couldn't get it to play any episodes. quite annoying.,,,,negative
Wizard348,5.0 out of 5 stars,Great Show.,Great show I get on my Roku.Â  I can sit for hours and listen to the speakers.Â  It is like being in college but no long drawn out boring speeches.Â  I learn something new every time I watch,,,,negative
"William F. Pillow, Jr.",4.0 out of 5 stars,Authoritative,"Topic is specific and authoritative, even if not of interest.",,,,negative
Amazon Customer,4.0 out of 5 stars,Four Stars,did not understand before I downloaded that I had to pay for this,,,,negative
John Davis,1.0 out of 5 stars,dumb,Ridiculous to have to review this as I add from my TV. Needs to be removed,,,,negative
Richard,1.0 out of 5 stars,Ok,All talk and no action.,,,,negative
Mike M,3.0 out of 5 stars,Limited in what you can see.,Was disappointed with the limited content.,,,,negative
Lady di$,2.0 out of 5 stars,Buggy app constantly crashes,"(On the Firestick). Such a shame, this is a horrible BUGGY app.Â  Constantly stopping - NOT during the ads of course.Â  And speaking of ads, after EVERY talk?Â  REALLY?Â  Go watch these somewhere else until TED and Amazon get their act together.",,,,negative
Amazon Customer,5.0 out of 5 stars,Five Stars,Everybody in America needs this channel. I'm so serious.,,,,negative
max meza,5.0 out of 5 stars,BreneÂ  Brown,The most significantÂ  subjectÂ  concerning our societyÂ  of attitudesÂ  dealing with shame and vulnerabilityÂ  has beenÂ  researched and explainedÂ  beautifullyÂ  . This is a major breakthroughÂ  in psychologicalÂ  health.,,,,negative
ð§AudibleAddictedð§,4.0 out of 5 stars,Mostly enjoyable,"Some good, others terrible",,,,negative
"Ruben Alejandro, Ph.D",1.0 out of 5 stars,Unfriendly to use,"TED TV App was very difficult to download and once it was downloaded, I had a difficult time trying to access the programs that I wanted to view so I finally gave up and opened up another app.",,,,negative
L. Bourassa,4.0 out of 5 stars,Highly educating and informative! Just right for the geeks ...,"Highly educating and informative! Just right for the geeks and nerds who want to learn and be stimulated about the world and science. If this stuff bores you,there are plenty of mind numbing sit-coms and worthless junk out there to entertain you.",,,,negative
Daman Singh,5.0 out of 5 stars,"Great app, but could use some work","1.) TED is great.2.) The app is a little restrictive as it does not allow users to search ALL ""TED"" talks, including ""TED x"" talks from various universities and organizations around the world.",,,,negative
King Richard,4.0 out of 5 stars,Tv,Filling up my new Fire Stick.,,,,negative
BGSmith,3.0 out of 5 stars,Selection of Topics,Felt the selection of topics was limited.,,,,negative
janap,1.0 out of 5 stars,Dont work,"It won't play on my tv, it just goes blank.",,,,negative
Amazon Customer,1.0 out of 5 stars,Did not authorize this,I didnât authorize this purchase. When changing channels on the TV there were no mention of any charges accuring. Please reverse the charges,,,,negative
Russ Jenkins,1.0 out of 5 stars,Boring,Boring,,,,negative
Gwendolyne Figueroa,3.0 out of 5 stars,It's not like netflix it does not adjusts quality based on your ...,"It's not like netflix it does not adjusts quality based on your wi fi, so it gets jam a lot an you have to pause it waiting for some advance in the download.",,,,negative
John R.,5.0 out of 5 stars,Food for your mind,informative and thought provoking,,,,negative
j smith,2.0 out of 5 stars,Two Stars,Not that interesting,,,,negative
Joe Womack,1.0 out of 5 stars,One Star,Getting bored of the formulaic format.,,,,negative
Georzetta,5.0 out of 5 stars,I Have This App on Every Device I Own,"Funny, sad, informative, entertaining. What's not to love?",,,,negative
Ashley Todd,2.0 out of 5 stars,More Videos,They did not have nearly as many Ted talk videos as I thought. Disappointed about how there was only a few selected topics. Wish there was more!,,,,negative
Donn P.,4.0 out of 5 stars,Four Stars,I get tired of TED after awhile.,,,,negative
Sue C.,1.0 out of 5 stars,Canât get there from here,The TED menu never loaded.Â  I love TED content and was disappointed that it would not ever get to the menu,,,,negative
Mrs.King,1.0 out of 5 stars,Still don't get it,Dumb subjects,,,,negative
Clark Kent,3.0 out of 5 stars,Not so much,A lot of the TED lecturers are not as good as I expected.,,,,negative
K. Black,5.0 out of 5 stars,Five Stars,So very positive in an age where so much of the news is depressing and negative.,,,,negative
Amazon Customer,3.0 out of 5 stars,Three Stars,The last few Ted talks I've watched have been hit or miss.,,,,negative
Susan C,3.0 out of 5 stars,Using app is not intuitive.,Content is absolutely outstanding.Â  But getting talks to play is frustratingly NOT intuitive.,,,,negative
C,2.0 out of 5 stars,Disappointed,I love TED... but unfortunately the app would not download via my Firestick.,,,,negative
Amazon Customer,4.0 out of 5 stars,I love Ted!,What's not to like about Ted Talks. You learn something new every time.,,,,negative
Emil Ysona,5.0 out of 5 stars,Well done and rducational,So much can be learned from experts in their fields.Â  Stop wasting time on pure entertaint and learn something!,,,,negative
Matthew Presley,4.0 out of 5 stars,"I love it, but it makes my brain hurt cause ...","No where else have I ever been able to see so many different Ted Talks in one place. I love it, but it makes my brain hurt cause I just can't stop watching.",,,,negative
Kindle Customer,5.0 out of 5 stars,Five Stars,Video quality and talks are always excellent.Â  Hard to put down & get other things done.,,,,negative
Amazon Customer,1.0 out of 5 stars,Never loads...,"Never had a chance to use the app, could never get it to load.",,,,negative
DAVID V RIDDLE,5.0 out of 5 stars,Five Stars,Many brief thought provoking presentations.,,,,negative
PLA,5.0 out of 5 stars,Five Stars,Thought provoking.,,,,negative
hardrock_555,5.0 out of 5 stars,Five Stars,"If you don't know TED Talks, be shamed",,,,negative
Rebecca Brockett,5.0 out of 5 stars,Five Stars,Love Ted Talks - but find it a little difficult to search sometimes.,,,,negative
George Favor,1.0 out of 5 stars,"Ted TV, thumbs down","Did not like,Â  its nothing special",,,,negative
Merry B,1.0 out of 5 stars,One Star,The videos take forever to buffer and always cut out.,,,,negative
Amazon Customer,3.0 out of 5 stars,Three Stars,Eh. Boring,,,,negative
Madhur Behl,2.0 out of 5 stars,Very basic.,No way to sign in with your TED account.,,,,negative
Amazon Customer,5.0 out of 5 stars,A higher level of thought.,Who can't use good ideas?,,,,negative
Handy Pop,4.0 out of 5 stars,... talks that are available really fill a space in dull t v,the talks that are available really fill a space in dull t v.,,,,negative
Amazon Customer,2.0 out of 5 stars,Not worth watching,Not interesting,,,,negative
kimsueterbug,5.0 out of 5 stars,Thought provoking,Inspirational.Â  Thought provoking.,,,,negative
John,1.0 out of 5 stars,One Star,Streaming is terrible. Have not been able to watch a complete program yet.,,,,negative
Dave Cow,4.0 out of 5 stars,Four Stars,An essential app for Fire TV.,,,,negative
Shaan,5.0 out of 5 stars,Can anything that TED does be bad?,Can anything that TED does be bad? Some search capabilities can be improved however.,,,,negative
Michelle Delanty,1.0 out of 5 stars,One Star,Very difficult to navigate. As my in laws said....they provide yesterday's news.,,,,negative
Joseph A Gallo,5.0 out of 5 stars,Five Stars,no comment required for TED,,,,negative
Martin Gollery,5.0 out of 5 stars,Five Stars,"Downloaded on fire stick, works ok",,,,negative
Coach Jodie,5.0 out of 5 stars,Wonderful content delivered in short segments with easy access to more..binge worthy brain and soul food.,The only problem with quickly and easily watching TED TV is being able to watch too much.,,,,negative
Nancy J.,1.0 out of 5 stars,One Star,cancel order by mistake,,,,negative
Thomas Gray,5.0 out of 5 stars,Five Stars,Always refreshing to listen to straightforward thought provoking ideas,,,,negative
cosmopolitan,1.0 out of 5 stars,One Star,Poor Item,,,,negative
Michael Branson,5.0 out of 5 stars,Five Stars,I can always find something thought provoking to watch that fits my short attention span.,,,,negative
Jesse Ludwig,3.0 out of 5 stars,Limited function,No way to add to a watchlist or connect to a watchlist on your phone. A very basic app.,,,,negative
Vic,1.0 out of 5 stars,Transmission on Fire TV very poor. It showed the streaming circle indicator all the ...,Transmission on Fire TV very poor . It showed the streaming circle indicator all the time in the middle of the screen .,,,,negative
Reena,2.0 out of 5 stars,Poor navigation,Poor navigation on the FireTV platform.,,,,negative
karla + gabby,5.0 out of 5 stars,Five Stars,Can you go wrong with TED talks?,,,,negative
AlexisCurbelo,3.0 out of 5 stars,TED App Seemingly Ungraceful With Variable Bandwidth,"I love watching TED. I used to watch it on Netflix, but I watched them all and Netflix is slow to update their list. So I began to watch it on Youtube and playback was flawless, but the user interface for YT on the Fire TV Stick is not comprehensive enough that you can't read the descriptions. Now for the TED app on Fire TV Stick: nice interface, nice playlists, horrible playback. At best, streaming stutters (freezes and plays), at worst it stops playing or locks up all together. I would have to relaunch TED app to continue watching the talks. It is aggravating not being able to watch TED talk from beginning to end without the stopping. Oh and I forgot to say that once it freezes and continues playing, the spinning circle on the middle of the screen doesn't go away. GRRRR. It is necessary to stop playback and resume (sometimes that works) but at other times I have to quit the app and relaunch. Before you say, ""your problem is your poor bandwidth"", I say that condition might be true but after trying to watch TED on the TED app, I can follow that by play several TED talks in a row on YT with no problem. I think the TED app doesn't handle fluctuating bandwidth gracefully and the developers were too quick to publish the app. The TED app needs improving.",,,,negative
Patty P.,5.0 out of 5 stars,Five Stars,What's not to Love about TED Talks.Â  Find your interest and go for it.,,,,negative
JaneyW,5.0 out of 5 stars,Five Stars,Who doesn't love TED TV?,,,,negative
AmazonProfile,5.0 out of 5 stars,Long live TED TV!,Who doesn't love TED?,,,,negative
Ed Bundy,5.0 out of 5 stars,TED is one of my favourite distractions.,"Always something new and though-provoking, TED is one of my favourite distractions.",,,,negative
Leslie Chrisman,5.0 out of 5 stars,Five Stars,Very informative! My go-to for my substance abuse groups.,,,,negative
Amazon Customer,1.0 out of 5 stars,Not interested,Nothing of interest to me,,,,negative
Mike Kabbeko,2.0 out of 5 stars,Seems to have trouble about halfway through each talk. ...,"Seems to have trouble about halfway through each talk. All of my other apps stream perfectly. Bummer though, it was one of the reasons I picked up the Fire Stick.",,,,negative
Sheila c. Brown,5.0 out of 5 stars,"I've learned so much! Ellen, If you haven't ...","I've learned so much!Â  Ellen, If you haven't tuned in please do!",,,,negative
Jonboy,5.0 out of 5 stars,Five Stars,Report abuse,,,,negative
deborah maestu,5.0 out of 5 stars,Five Stars,Always thought provoking,,,,negative
moore.bryan,2.0 out of 5 stars,TED=Amazing; TED TV on the Fire Stick leaves a ...,"TED=Amazing; TED TV on the Fire Stick leaves a lot to be desired, mainly because there's no way to sign-in to your account on TED. :-(",,,,negative
"Harold L. Cutler, JR",1.0 out of 5 stars,One Star,TED rarely has interesting content. It is extremely lacking in scientific and medical content.,,,,negative
G23Paxilon,2.0 out of 5 stars,Two Stars,It's not that they are lying it's just that so much of what they say just isn't true.,,,,negative
A.L.Shep,2.0 out of 5 stars,Two Stars,Content is blah.,,,,negative
Nichol Lapham,3.0 out of 5 stars,Three Stars,It is what it is. Hard to rate.,,,,negative
Ginger,1.0 out of 5 stars,One Star,its dumb,,,,negative
Hemius Maximus,2.0 out of 5 stars,Two Stars,meh,,,,negative
Robert Nichols,1.0 out of 5 stars,One Star,Do not like it,,,,negative
Mark Silbert,1.0 out of 5 stars,One Star,Boring and self absorbed .,,,,negative
Barbara,1.0 out of 5 stars,One Star,Not free,,,,negative
Mike Sr,1.0 out of 5 stars,Too much going on. No story just screen bites ...,Too much going on. No story just screen bites of a dysfunctional family.Why not hire real writers and professional actors.,,,,negative
Jay,1.0 out of 5 stars,One Star,Nothing even worth saying about this,,,,negative
Kyuwon,2.0 out of 5 stars,please fix the notification bug,"Ted is great but the app for amazon fire does not live up to the reputation . I get notifications for new updates from the app. That's great.BUT the problem is, after I have seen the notifications I can't seem toÂ  clear it off from my upper screen notification list. I tried to tap on the notification to see if it will clear but even after the app is opened the notification is still stuck there. I have four notifications that wont budge and just eating up space. Very annoying.Please fix this.",,,,negative
Linda Perrine,1.0 out of 5 stars,"Love TED talks, not the TED TV app on Fire stick","I have watched TED talks on Amazon Fire stick for the last 2 years or so.Â  The app on Fire stick never had a buffering issue until the January 2019.Â  Nothing has changed in my home WiFi setup or telecom service.Â  My version is 2.0.3 of TED TV on Amazon fire stick.Â  It seems to be the latest version, but in the last 2 weeks now has a major buffering issue, such that it is too painful to watch any talk on TED TV.Â  Please someone fix the buffering issue on TED TV!",,,,negative
Vanessa,1.0 out of 5 stars,Waste of time,"I think the show is one of the most ridiculous things I've ever seen . I've watched several episodes to trying figure out the purpose of it and all I can conclude is that it consists of ""famous"" people wanting to hear themselves talk and try to be experts on things they know very little about. One's personal experience does not an expert make .Â  Don't bother responding to my opinion as I'm not interested in yours;Â  simply because you're not an expert on me and what I know . I'm just trying to spare people from wasting their time . If you really want to learn about something , don't listen to one person talk about it , do the research yourself . The Internet has a plethora of information so that you can be well-informed with varied views and be able to form your own opinion which is more important than all of the hot air hacks on this show.",,,,negative
Garry C.,1.0 out of 5 stars,One Star,Sucks,,,,negative
YR&RRK,3.0 out of 5 stars,Keep to good ones,Donât watchNever heard of itIf itâs not easy to find I donât bother,,,,negative
Paul F.,3.0 out of 5 stars,Good but....,"The TED series of talks are excellent and cover a wide range of topics by some of the world's leading experts and commentators, each talk lasting no more than 20 minutes. The only problem is that with the Amazon Firestick you cannot search the database of talks, for if you press the search button no keyboard comes up. If it wasn't for this fact I would give the App 5 stars.",,,,negative
NOTiFY,1.0 out of 5 stars,"Dull, Dull, Dull","Dull, Dull, Dull. Dull, Dull, Dull. Dull, Dull, Dull. Dull, Dull, Dull. Dull, Dull, Dull. Dull, Dull, Dull.",,,,negative
catherine,1.0 out of 5 stars,how dare you,STOP IT I did nopt order this rubbish it is being foisted on me,,,,negative
DJS,3.0 out of 5 stars,No idea - have given a neutral review as I am not sure why I have been asked to comment on this.,No idea - have given a neutral review as I am not sure why I have been asked to comment on this.,,,,negative
Amazon Customer,2.0 out of 5 stars,It's ok,It's alright but also a lot of boring stuff on there.,,,,negative
DJEvo70,1.0 out of 5 stars,Still spinning,No idea - it still shows a spinning wheel......,,,,negative
Miss M Lay,3.0 out of 5 stars,Great videos.,Not particularly easy to navigate.,,,,negative
Dh18,4.0 out of 5 stars,App with fire stick,Apps downloaded from fire stick,,,,negative
Steven Craigie,5.0 out of 5 stars,No complaints,No complaints,,,,negative
Nathan,3.0 out of 5 stars,Needs a login,Good for viewing TED talks but there is no login option so favourites canât be viewed.,,,,negative
Amazon Customer,1.0 out of 5 stars,Didnât like it,Useless app,,,,negative
dilman,3.0 out of 5 stars,You can do the same on YouTube,Bit limited on choice for discovery programs,,,,negative
Alison Love,2.0 out of 5 stars,Mistake,Wrong for me.,,,,negative
Hyacinth Bucket,1.0 out of 5 stars,Nope,Nonsense,,,,negative
Holden Caulderfield,3.0 out of 5 stars,Didn't use much,I didn't use this channel much so i can't give our a fair review,,,,negative
DQ,1.0 out of 5 stars,Dont work in caribbean,Unfortunately dont work in caribbean,,,,negative
Amazon Customer,3.0 out of 5 stars,Arsed,Meh,,,,negative
Amazon Customer,3.0 out of 5 stars,stops boredom,Stops boredom,,,,negative
